"Story","Title","Result","Date","Stability","Duration (s)"
"Viking_freight","Login to vikings freight application","SUCCESS","2021-07-16T12:08:21.582+05:30[Asia/Calcutta]","0.0","84.71"
"Viking_Pricing_AddVarience","Login to vikings","SUCCESS","2021-07-16T12:09:47.813+05:30[Asia/Calcutta]","0.0","80.22"
